0.18,-4.21964066442764e-17,4.34415948823172e-17,-0.103303593152498,3.6673637710297e-16,3.06818680014042e-16,0.0144023904895745,-5.23929804589962e-16,6.10970091228202e-16,0.678296093000392,1.2677425840462e-15,1.0521504563314e-15,0.239477127130041,-1.03883181326507e-15,-1.03883181326507e-15,280.866855638439,280.098184964266
0.19,-4.53165454276498e-17,4.69628025742706e-17,-0.109993856150373,3.77544218853163e-16,3.14125214435528e-16,0.0169059150297857,-5.01696857096895e-16,5.98778271293542e-16,0.657262842725408,6.77179867217612e-16,5.43004604009397e-16,0.263724210263365,-1.03883181326507e-15,-1.03883181326507e-15,284.682501136874,283.943232465489
0.2,-4.82421223814494e-17,5.03678758152492e-17,-0.116460260779453,3.82470396750259e-16,3.16202060306276e-16,0.0196543781406089,-4.75692625999559e-16,5.820650716759e-16,0.633268135675556,7.22255019775497e-17,2.85970827594811e-17,0.288510097654523,-1.03670208376543e-15,-1.02521866721525e-15,288.063954396046,287.357128705257
0.21,-5.09755509335403e-17,5.36617011289238e-17,-0.122674581249639,3.8135988246664e-16,3.12985118507565e-16,0.0226528693100166,-4.4500688031548e-16,5.60436382702606e-16,0.606616667690278,-5.47016355253842e-16,-4.96300958028696e-16,0.313769449918575,-1.03670208376543e-15,-1.02521866721525e-15,291.059948086851,290.387599714408
0.22,-5.35417864092794e-17,5.68713604771588e-17,-0.128611514007306,3.74376577541284e-16,3.04680413955972e-16,0.0259058563989651,-4.1682562019933e-16,5.40616010891562e-16,0.577585624087302,-1.10867081664713e-15,-9.66193016224294e-16,0.339443914953044,-9.2059008056387e-16,-9.02216614083586e-16,293.713891611184,293.077220911779
0.23,-5.5967476401665e-17,6.00239579215028e-17,-0.134248409639145,3.61771133706775e-16,2.91580350725482e-16,0.0294172531262973,-3.84211080715611e-16,5.16010339865569e-16,0.546426264609807,-1.68105314281431e-15,-1.44306272636334e-15,0.365481593313447,-9.2059008056387e-16,-9.02216614083586e-16,296.064420674004,295.463944522862
0.24,-5.82919305566435e-17,6.31579168187733e-17,-0.139565021345228,3.44003323282823e-16,2.74156007412702e-16,0.0331904811209795,-3.60081199976457e-16,4.99272481783949e-16,0.513365654730949,-2.13295796829136e-15,-1.81200137300599e-15,0.391836487799189,-7.13121880040806e-16,-6.90614383602458e-16,298.145897186833,297.581579190775
0.25,-6.0562517061663e-17,6.63175371565019e-17,-0.144543271049164,3.21681900058692e-16,2.53010937331008e-16,0.0372285264815887,-3.32174559657926e-16,4.7839736040736e-16,0.478608459027327,-2.59203824382882e-15,-2.18476307092157e-15,0.418467957938018,-7.13121880040806e-16,-6.90614383602458e-16,299.988862359089,299.460224708585
0.26,-6.28256412816892e-17,6.95415627431802e-17,-0.149167033478516,2.95438131940189e-16,2.28794983873347e-16,0.0415339909589924,-3.17085125707382e-16,4.69123691192731e-16,0.442338735558447,-2.89625517830537e-15,-2.41464988299611e-15,0.445340193455114,-4.62323377675016e-16,-4.25852046711652e-16,301.620446092474,301.12666497591
0.27,-6.51408264874638e-17,7.28784180809563e-17,-0.153421938021715,2.66083129710345e-16,2.02316355343963e-16,0.046109137995771,-2.99038080234051e-16,4.56566351394742e-16,0.404721688129158,-3.20464080801618e-15,-2.64597087962851e-15,0.472421715846079,-4.62323377675016e-16,-4.25852046711652e-16,303.064735905959,302.604722337314
0.28,-6.75487945686875e-17,7.63589627475791e-17,-0.157295187800596,2.34301735532327e-16,1.7425375615378e-16,0.0509559339298411,-2.94765477876436e-16,4.56962906563974e-16,0.365905347047714,-3.35028630140238e-15,-2.73098144714557e-15,0.49968491348917,-2.08493527303945e-16,-1.63643895625572e-16,304.343108623572,303.915576427412
