t,x,y,z
5.400000000000000000e+01,3.863305013365718423e+02,2.901630985393506990e+02,1.761999425516054529e+01
5.410000000000000142e+01,3.866699713510622587e+02,2.905301915029156135e+02,1.761830151685814627e+01
5.420000000000000284e+01,3.870094413655527319e+02,2.908972844664805848e+02,1.761660877855574725e+01
5.430000000000000426e+01,3.873489113800431483e+02,2.912643774300454993e+02,1.761491604025334468e+01
5.440000000000000568e+01,3.876883813945336215e+02,2.916314703936104706e+02,1.761322330195094565e+01
5.450000000000000000e+01,3.880278514090240378e+02,2.919985633571754420e+02,1.761153056364854663e+01
5.460000000000000142e+01,3.883673214235145110e+02,2.923656563207403565e+02,1.760983782534614761e+01
5.470000000000000284e+01,3.887067914380049274e+02,2.927327492843053278e+02,1.760814508704374859e+01
5.480000000000000426e+01,3.890462614524954006e+02,2.930998422478702992e+02,1.760645234874134957e+01
5.490000000000000568e+01,3.893857314669858170e+02,2.934669352114352137e+02,1.760475961043895055e+01
5.500000000000000000e+01,3.897252014814762902e+02,2.938340281750001850e+02,1.760306687213655152e+01
5.510000000000000142e+01,3.900646714959667065e+02,2.942011211385651563e+02,1.760137413383415250e+01
5.520000000000000284e+01,3.904041415104571797e+02,2.945682141021300708e+02,1.759968139553175348e+01
5.530000000000000426e+01,3.907436115249475961e+02,2.949353070656950422e+02,1.759798865722935446e+01
5.540000000000000568e+01,3.910830815394380124e+02,2.953024000292599567e+02,1.759629591892695544e+01
5.550000000000000000e+01,3.914225515539284856e+02,2.956694929928249280e+02,1.759460318062455642e+01
5.560000000000000142e+01,3.917620215684189020e+02,2.960365859563898994e+02,1.759291044232215739e+01
5.570000000000000284e+01,3.921014915829093752e+02,2.964036789199548139e+02,1.759121770401975837e+01
5.580000000000000426e+01,3.924409615973997916e+02,2.967707718835197852e+02,1.758952496571735935e+01
5.590000000000000568e+01,3.927804316118902648e+02,2.971378648470847565e+02,1.758783222741496033e+01
5.600000000000000000e+01,3.931199016263806811e+02,2.975049578106496710e+02,1.758613948911256131e+01
5.610000000000000142e+01,3.934593716408711543e+02,2.978720507742146424e+02,1.758444675081016229e+01
